user_id,discussion_involvement_ratio,hashtag_post_ratio,pct_url,pct_curse,reply_post_ratio,avg_post_length,total_posts,pct_not_high_factual,pct_not_high_credibility,pct_not_high_popularity,bias_mean,bias_variance,bias_distribution,side,composite_probability,composite_log_odds
15661.0,0.1836734693877551,0.038,6.0,0.7000000000000001,0.0,190.154,1000,48.14814814814815,22.22222222222222,11.11111111111111,-0.4583333333333333,0.2690972222222222,"[0.5, -0.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.0, -1.5, -1.5, -0.5, 0.0, -0.5, -0.5, -1.5, 0.5]",0,0.968386828394396,3.422057766852777
163761.0,0.0344827586206896,0.2307692307692307,61.53846153846154,0.0,0.0,228.3846153846154,13,66.66666666666666,66.66666666666666,0.0,-0.3333333333333333,0.0555555555555555,"[-0.5, -0.5, 0.0]",1,0.6498505719991021,0.6183824467118019
556599.0,0.175438596491228,0.0232558139534883,32.55813953488372,2.3255813953488373,0.0,236.093023255814,43,10.0,10.0,10.0,-0.7,0.4600000000000001,"[0.0, 0.0, 0.0, 0.0, -1.5, -1.5, -1.5, -1.5, -0.5, -0.5]",1,0.7120396046353018,0.9053105797678316
100841.0,0.0311958405545927,0.0386052303860523,19.42714819427148,2.9887920298879203,0.0,190.65753424657532,803,46.2962962962963,24.074074074074076,31.48148148148148,-0.6020408163265306,0.1834652228238234,"[-0.5, -0.5, 0.0, -0.5, -0.5, -1.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -1.5, -0.5, -1.5, 0.0, -1.5, -0.5, -0.5, -0.5, -0.5, -1.5, -0.5, 0.0, -1.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.0, -0.5, -1.5, -0.5, 0.0, -0.5, 0.0, -1.5]",1,0.9751354750041652,3.6691343214079164
237477.0,0.2025316455696202,0.1153846153846153,75.0,0.0,0.0,218.34615384615384,52,18.75,18.75,6.25,-1.0483870967741935,0.312174817898023,"[-0.5, -1.5, -1.5, -1.5, -0.5, -1.5, -1.5, -1.5, -1.5, -0.5, -1.5, -0.5, -0.5, -1.5, -1.5, -1.5, -0.5, -1.5, -0.5, -0.5, -1.5, -0.5, -0.5, 0.5, -0.5, -1.5, -1.5, -0.5, -1.5, -1.5, -1.5]",0,0.8383976388908957,1.6463537405505102
43000.0,0.0029510961214165,0.0294117647058823,50.0,0.0,0.0,218.52941176470588,34,28.57142857142857,14.285714285714285,0.0,-0.6428571428571429,0.1224489795918367,"[-0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -1.5]",1,0.7101130136263054,0.8959329866228358
716031.0,0.0600292825768667,0.0101694915254237,12.203389830508476,7.118644067796611,0.0,199.5627118644068,590,26.82926829268293,14.634146341463412,9.75609756097561,-0.8375,0.34234375,"[-0.5, -1.5, -1.5, -1.5, -1.5, -0.5, -0.5, -1.5, -1.5, -0.5, -0.5, -1.5, -0.5, -0.5, -1.5, -0.5, -1.5, -0.5, -0.5, 0.5, -0.5, 0.5, -1.5, -0.5, -1.5, -1.5, -1.5, -0.5, -0.5, -0.5, -1.5, -0.5, -0.5, -0.5, -0.5, 0.0, -0.5, -1.5, -1.5, -0.5]",1,0.9351276473526778,2.66826150752759
12532.0,0.0528735632183908,0.0089686098654708,11.659192825112108,4.484304932735426,0.0,158.28699551569505,223,30.434782608695656,30.434782608695656,34.78260869565217,-0.6052631578947368,0.2520775623268698,"[-0.5, -0.5, -1.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, 0.0, -0.5, -0.5, -1.5, -1.5, -1.5, 0.0, -0.5, 0.0, 0.0]",1,0.973021735960403,3.585374914834338
1232845.0,0.0160771704180064,0.0638297872340425,46.80851063829788,0.0,0.0,197.93617021276597,47,40.0,40.0,0.0,-0.4,0.04,"[-0.5, 0.0, -0.5, -0.5, -0.5]",1,0.7644278337308822,1.1771103192001393
294432.0,0.086021505376344,0.0477941176470588,25.36764705882353,5.88235294117647,0.0,175.5441176470588,272,62.5,45.83333333333333,29.166666666666668,-0.7291666666666666,0.2912326388888888,"[0.0, -1.5, -0.5, -0.5, -0.5, -1.5, -0.5, -1.5, -1.5, -0.5, -1.5, -0.5, -0.5, -0.5, 0.5, -0.5, -0.5, -0.5, -1.5, -0.5, -0.5, -1.5, -0.5, -0.5]",1,0.9901977765466826,4.615295454531937
